system	dq	unadjusted	corrected
1mel	0	0.467196681949346	0.4696667174683487
1mel	0	0.4289106863864122	0.43109441621460826
1mel	0	0.29689063214097855	0.29825121874670046
1mel	0	0.4556350553371314	0.45801899518819383
1mel	0	0.4335120220065635	0.43573039508206485
1mel	0	0.3710282271156146	0.3727888737082564
1mel	0	0.3832117273393592	0.38505342985207086
1mel	0	0.4429516819450203	0.4452408719604641
1mel	0	0.4373021587157618	0.439549002895636
1mel	0	0.41458124723880535	0.4166563727748224
1mel	0	0.4139826856658211	0.41605324506830593
1mel	0	0.36258952809616324	0.3642970907944491
1mel	0	0.4208278998473198	0.42295052334604183
1mel	0	0.42136218991568164	0.4234888640087381
1mel	0	0.4056649677048981	0.40767175232306885
1mel	-1	0.40989248060361816	0.40925815726612186
1mel	0	0.34824660577593586	0.3498690646591992
1mel	0	0.43980873336905374	0.4420743782688282
1mel	0	0.38997537327138804	0.39186455082913974
1mel	0	0.43527258998935914	0.4375041950231025
1mel	0	0.3377919870398259	0.3393560819071776
1mel	0	0.4049508865780264	0.40695216440503446
1mel	0	0.4304234684082753	0.43261859814989095
1mel	0	0.4250108864378333	0.4271651774928867
1mel	0	0.4303062107154248	0.43250045720679536
1mel	0	0.3934499865456943	0.395364298563433
1mel	0	0.3698797726691357	0.37163305433083776
1mel	0	0.29476802064927266	0.29611898730517106
1mel	0	0.466241556713955	0.4687044871666492
1mel	0	0.25251109769160357	0.253686492400719
1mel	0	0.34235910554140536	0.3439483387106697
1mel	-1	0.31034393615031997	0.31024281299694806
1mel	0	0.48244307796110686	0.48502640092986715
1mel	0	0.37744377804195556	0.3792464230954556
1mel	-1	0.391940902860728	0.39146093154381456
1mel	1	0.4550231102599702	0.45412269546101797
1mel	-1	0.39301027789546006	0.39252190252508534
1mel	1	0.39057370425883414	0.390104293656136
1mel	0	0.4488815156104153	0.4512150517274285
1mel	0	0.33493084015496105	0.33647945924482325
1mel	0	0.33280275431556094	0.33433999527920394
1mel	0	0.4025757867020374	0.4045587078694556
1mel	0	0.3819913520580457	0.38382468430351446
1mel	0	0.3571586062394257	0.35883321896000225
1mel	0	0.43140217937993613	0.4336046789477256
1mel	0	0.40091685774631564	0.40288701506307356
1mel	0	0.39037640701594795	0.39226845901724733
1mel	0	0.5048178967989004	0.5075672256664702
1mel	0	0.40644212958895626	0.40845490120929545
1mel	0	0.3754739102139785	0.37726350234634903
1mel	1	0.43779033205333034	0.43696987617724053
1mel	0	0.436470015712643	0.4387106135170406
1mel	0	0.5597319394707142	0.5628888263694678
1mel	-1	0.4347804203843865	0.4339762700205381
1mel	0	0.3643391676889043	0.3660575436396834
1mel	-1	0.30875094479450665	0.3086537078715553
1mel	0	0.4245229095765708	0.4266735114733241
1mel	0	0.40660921379204507	0.4086232717419931
1mel	0	0.33185996810691737	0.3333922038881675
1mel	0	0.45001039410975996	0.45235236238431026
